단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A15083201,191,2,미설치,설치,0,4,,입주민전용,시 분,1시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|4|한국전기차충전서비스|,0,4,있음
A15083202,430,4,설치,설치,5,3,,,0시 0분,0시 0분,23시 0분,23시 0분,"◆1◆|지하|벽부형충전기|직접입력|완속|3|파워큐브|,◆2◆|지상|스탠드형충전기|직접입력|완속|5|한국전자인증|",5,3,없음
A15083404,2040,3,미설치,설치,0,3,입주민전용,입주민전용,시 분,23시 55분,시 분,23시 55분,"◆1◆|지하|스탠드형충전기|직접입력|급속|1|한전|,◆2◆|지하|스탠드형충전기|직접입력|완속|2|한전|",0,3,없음
A15083601,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15083602,350,6,설치,미설치,4,0,,,24시 0분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|직접입력|완속|4|지에스차지비(주)|,4,0,없음
A15083603,8,8,미설치,설치,0,0,,,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|직접입력|급속|8|한전|,0,8,없음
A15083701,108,3,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15083703,409,12,미설치,설치,0,13,,,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|10|1|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|1|1|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|2|1|",0,13,없음
A15085404,496,3,미설치,설치,0,9,,입주민전용,시 분,1시 0분,시 분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|(주)차지비|,◆2◆|지하|벽부형충전기|DC콤보 7핀|완속|5|(주)이브이세상|",0,9,있음
A15086001,205,3,미설치,설치,0,6,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|이지차저|,0,6,없음
A15086004,461,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15086006,826,8,설치,설치,13,3,입주민전용,입주민전용,0시 0분,0시 0분,23시 0분,23시 0분,"◆1◆|지상|스탠드형충전기|AC3상 7핀|완속|13|(주)에버온|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|3|(주)에버온|",13,3,없음
A15086007,297,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15086201,206,5,미설치,설치,0,5,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|5|한국전자금융(주)|,0,5,없음
A15086202,489,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15086601,199,10,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|ulvac|,0,3,없음
A15086603,467,5,미설치,설치,0,7,,,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|7|플러그링크|,0,7,없음
A15086702,223,5,미설치,설치,0,5,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|GS차지비(주)|,0,5,없음
A15088208,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15088614,869,44,미설치,설치,0,0,입주민전용,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|2|한국전기차충전서비|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|1|한국전기차충전서비|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|16|차지비|",0,19,없음
A15088717,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
