단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A13612002,철근콘크리트구조,4900,단일계약,위탁관리,29,1445,54,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",23,4
A13614001,철근콘크리트구조,3000,종합계약,위탁관리,18,784,191,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",21,2
A10024488,철근콘크리트구조,9000,종합계약,위탁관리,92,2027,349,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",29,2
A10026571,철근콘크리트구조,3469,단일계약,위탁관리,13,614,200,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",30,3
A10025461,철근콘크리트구조,3750,단일계약,위탁관리,21,1096,310,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",29,2
A10025245,철골철근콘크리트구조,5700,단일계약,위탁관리,40,1911,478,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",32,2
A10025259,철골철근콘크리트구조,1500,종합계약,위탁관리,2,153,22,유,"관리사무소, 주민공동시설, 자전거보관소, 기타",17,3
A13614301,철근콘크리트구조,800,단일계약,위탁관리,5,189,37,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,2
A10024702,철근콘크리트구조,850,종합계약,위탁관리,6,169,38,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",18,2
A10020716,,,,관리방식미정,0,0,,,,31,3
A10023569,철골철근콘크리트구조,900,단일계약,위탁관리,12,117,67,유,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",12,2
A13614302,철근콘크리트구조,1300,단일계약,위탁관리,13,412,70,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",15,0
A13676101,철근콘크리트구조,2250,단일계약,위탁관리,19,684,186,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",20,2
A10025283,철골철근콘크리트구조,4650,종합계약,위탁관리,32,1311,530,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",23,2
A13615003,콘크리트구조,4500,단일계약,위탁관리,41,2249,214,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",25,0
A13681701,철근콘크리트구조,995,단일계약,위탁관리,7,241,32,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,2
A13615002,철근콘크리트구조,1300,단일계약,위탁관리,10,461,39,무,,20,2
A13676103,철근콘크리트구조,1000,종합계약,위탁관리,9,253,83,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",15,3
A10020602,철골철근콘크리트구조,1050,종합계약,위탁관리,5,154,125,유,,15,4
A14272304,철근콘크리트구조,7200,종합계약,위탁관리,84,4816,488,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",25,5
A14272311,철근콘크리트구조,2200,단일계약,위탁관리,17,693,128,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",20,3
A10025241,철골철근콘크리트구조,4000,종합계약,위탁관리,47,1365,421,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",14,3
A10026947,철골철근콘크리트구조,2750,종합계약,위탁관리,25,716,316,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",15,3
A10023829,철근콘크리트구조,1700,단일계약,위탁관리,8,227,185,유,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",11,4
A14277601,철근콘크리트구조,1200,종합계약,위탁관리,11,329,72,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",15,2
A14272309,철근콘크리트구조,7232,기타,위탁관리,43,1560,469,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",24,3
A14272308,철근콘크리트구조,6923,단일계약,위탁관리,36,1565,341,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",25,3
A14282301,철근콘크리트구조,900,단일계약,위탁관리,8,232,51,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,1
A14272306,철근콘크리트구조,2000,단일계약,위탁관리,38,1069,175,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",22,2
A14272314,철근콘크리트구조,8600,단일계약,위탁관리,44,1753,407,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",23,4
A14280502,철근콘크리트구조,1800,단일계약,위탁관리,15,563,126,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",15,2
